Row Labels,Sum of T1528,Sum of T1536,"% of Population (Recent Immigrants, 2016ñ2021)"
Abbotsford - Mission,136205,6840,4.78%
Alma,28960,40,0.14%
Amos,17875,85,0.47%
Aucune zone d'influence métropolitaine (Qc) / No metropolitan influenced zone (Que.),272445,420,0.15%
Baie-Comeau,25265,15,0.06%
Barrie,171420,4150,2.36%
Bathurst,29500,220,0.74%
Belleville - Quinte West,99070,870,0.87%
Brandon,42410,2760,6.11%
Brantford,120265,2270,1.85%
Brockville,27930,260,0.92%
Brooks,8860,1850,17.27%
Calgary,976420,85580,8.06%
Campbell River,35600,425,1.18%
Campbellton (New Brunswick part / partie du Nouveau-Brunswick),10980,75,0.68%
Campbellton (partie du Québec / Quebec part),1305,0,0.00%
Camrose,16145,520,3.12%
Canmore,11705,770,6.17%
Cape Breton,92120,380,0.41%
Centre Wellington,27080,220,0.81%
Charlottetown,64980,3865,5.61%
Chatham-Kent,92315,850,0.91%
Chilliwack,94530,1690,1.76%
Cobourg,17190,190,1.09%
Collingwood,20945,280,1.32%
Corner Brook,28155,165,0.58%
Cornwall,54645,655,1.18%
Courtenay,53470,690,1.27%
Cowansville,13755,50,0.36%
Cranbrook,23575,335,1.40%
Dawson Creek,15415,425,2.68%
Dolbeau-Mistassini,14520,35,0.24%
Drummondville,93730,960,1.01%
Duncan,40285,555,1.36%
Edmonton,1008225,74685,6.90%
Edmundston,19910,240,1.19%
Elliot Lake,10030,25,0.25%
Essa,20005,220,1.09%
Estevan,11075,415,3.61%
Fort St. John,24680,930,3.63%
Fredericton,95880,3715,3.73%
Gander,12695,130,1.01%
Granby,83155,935,1.11%
Grand Falls-Windsor,13250,40,0.30%
Grande Prairie,53820,2610,4.63%
Greater Sudbury / Grand Sudbury,154080,1625,1.04%
Guelph,123660,6005,4.63%
Halifax,392560,18140,4.42%
Hamilton,561190,26520,4.51%
Hawkesbury (Ontario part / partie de l'Ontario),9215,115,1.23%
Hawkesbury (partie du Québec / Quebec part),1770,0,0.00%
High River,11315,740,6.14%
Ingersoll,12485,115,0.91%
Joliette,47730,500,1.04%
Kamloops,96970,1460,1.48%
Kawartha Lakes,70940,210,0.30%
Kelowna,182665,4300,2.30%
Kenora,13855,80,0.57%
Kentville,24830,335,1.33%
Kingston,144455,2740,1.86%
Kitchener - Cambridge - Waterloo,399255,27780,6.51%
Lachute,13030,30,0.23%
Lacombe,11410,460,3.88%
Ladysmith,13435,55,0.41%
Lethbridge,101365,3645,3.47%
Lloydminster (Alberta part / partie de l'Alberta),16910,550,3.15%
Lloydminster (Saskatchewan part / partie de la Saskatchewan),14120,665,4.50%
London,400630,20490,4.87%
Matane,17520,35,0.20%
