ADA_code,CMANAME,CMAUID,CSDNAME,CSDUID,PRNAME,ada_code_n,T1528,T1536,T1537,T1670,T1673,T1674,T1675,public_caf,public_ef,public_emp,public_gs,public_hf,public_psef,public_srf,walk_caf,walk_ef,walk_emp,walk_gs,walk_hf,walk_psef,walk_srf
10010001,Moderate metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine modérée (T.-N.-L.),997,"Division No.  1, Subd. E",1001304,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010001,8685,0,10,15,15,0,0,0,0,0,,0,0,0,0.000926005,0.000753561,4.58E-05,1.791493333,1.47E-05,0,0.000459244
10010002,St. John's,1,Pouch Cove,1001505,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010002,4145,0,0,10,15,0,0,0,0,0,,0,0,0,0.001481885,0,0.000350762,,0.000153362,0,0.003351786
10010003,Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),998,"Division No.  1, Subd. I",1001374,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010003,10500,15,20,60,45,0,0,0,0,0,,0,0,0,0.005042066,0.001005922,0.00134172,5.56056713,0.001282727,0.013029146,0.001829107
10010004,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010004,8805,295,220,595,165,80,0,0.008549419,0.008819043,0.008911963,24.17391304,0.008047122,0.016363726,0.011867305,0.003519029,0.028732487,0.010999,5.638326667,0.019478618,0.026563082,0.030279428
10010005,St. John's,1,Portugal Cove-St. Philip's,1001504,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010005,9130,35,0,90,65,0,0,0,0,0.000130514,,0.000137971,0,0.000175149,0.00247214,0.005695035,0.001651088,4.934947917,0.00200328,0,0.00496195
10010006,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010006,6950,340,275,305,105,275,0,0.02827677,0.020962217,0.022325222,23.90322581,0.018948385,0.024708392,0.031565846,0.010677493,0.048295423,0.014439224,5.979806667,0.027316089,0.031712574,0.048839904
10010007,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010007,7065,185,190,270,115,85,0,0.008800644,0.01141293,0.014760159,31,0.007746206,0.01168356,0.012512783,0.002056265,0.009008167,0.011530972,7.826364815,0.008618998,0,0.012105165
10010008,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010008,5105,105,135,240,105,60,0,0.014607144,0.012914603,0.01380693,21.85,0.011964361,0.016955673,0.018556289,0.005800059,0.041213553,0.0156615,5.300723118,0.030806727,0.002606449,0.040633429
10010009,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010009,7420,155,455,330,105,45,0,0.060383241,0.026531447,0.033884875,7.313253012,0.027567342,0.037529818,0.048399489,0.067869707,0.05761457,0.041348205,2.621494755,0.05116401,0.007667766,0.090763282
10010010,St. John's,1,St. John's,1001519,Newfoundland and Labrador / Terre-Neuve-et-Labrador,10010010,8435,470,600,570,115,255,0,0.014855714,0.014218223,0.014111824,26.21428571,0.010343687,0.030223824,0.015926748,0.00474134,0.03088262,0.013043724,5.591537222,0.013762673,0.02819042,0.022307061
